Payer,Provider,Procedure_Code,Description,Contract_Rate,Effective_Date,Term_Length,Region
Blue Cross Blue Shield,Cleveland Clinic,99283,Emergency Dept Visit - Moderate,$187.08,01-12-2024,24,Northeast
Blue Cross Blue Shield,Cleveland Clinic,99284,Emergency Dept Visit - High,$338.74,01-12-2024,36,Southeast
Blue Cross Blue Shield,Cleveland Clinic,97110,Physical Therapy - 15 mins,$31.63,01-03-2024,12,Northeast
Blue Cross Blue Shield,Cleveland Clinic,36415,Blood Draw/Venipuncture,$16.64,01-07-2024,12,West
Blue Cross Blue Shield,Cleveland Clinic,90471,Vaccine Administration,$41.74,01-11-2024,12,West
Blue Cross Blue Shield,Cleveland Clinic,90213,Immunization,$73.63,01-02-2024,12,West
Blue Cross Blue Shield,Mayo Medical Group,99213,Office/Outpatient Visit (Level 3),$81.83,01-10-2024,36,Southeast
Blue Cross Blue Shield,Mayo Medical Group,99214,Office/Outpatient Visit (Level 4),$117.04,01-01-2024,24,Southwest
Blue Cross Blue Shield,Mayo Medical Group,99215,Office/Outpatient Visit (Level 5),$161.85,01-04-2024,36,Southeast
Blue Cross Blue Shield,Mayo Medical Group,93000,Electrocardiogram (ECG),$42.34,01-02-2024,12,Northeast
Blue Cross Blue Shield,Mayo Medical Group,70450,CT Scan of Head/Brain,$292.83,01-01-2024,24,Northeast
Blue Cross Blue Shield,Mayo Medical Group,80053,Comprehensive Metabolic Panel,$22.92,01-04-2024,24,Midwest
Blue Cross Blue Shield,Mayo Medical Group,85025,Complete Blood Count (CBC),$17.21,01-12-2024,24,Northeast
Blue Cross Blue Shield,Mayo Medical Group,71045,Chest X-Ray,$48.31,01-03-2024,24,Northeast
Blue Cross Blue Shield,Mayo Medical Group,99283,Emergency Dept Visit - Moderate,$149.82,01-06-2024,12,Northeast
Blue Cross Blue Shield,Mayo Medical Group,99284,Emergency Dept Visit - High,$336.32,01-08-2024,36,Northeast
Blue Cross Blue Shield,Mayo Medical Group,97110,Physical Therapy - 15 mins,$27.04,01-02-2024,36,Northeast
Blue Cross Blue Shield,Mayo Medical Group,36415,Blood Draw/Venipuncture,$17.13,01-01-2024,12,Midwest
Blue Cross Blue Shield,Mayo Medical Group,90471,Vaccine Administration,$39.10,01-08-2024,36,Southeast
Blue Cross Blue Shield,Mayo Medical Group,90213,Immunization,$77.82,01-03-2024,12,Southeast
Blue Cross Blue Shield,Kaiser Permanente,99213,Office/Outpatient Visit (Level 3),$84.91,01-09-2024,24,Southwest
Blue Cross Blue Shield,Kaiser Permanente,99214,Office/Outpatient Visit (Level 4),$131.98,01-05-2024,36,Northeast
Blue Cross Blue Shield,Kaiser Permanente,99215,Office/Outpatient Visit (Level 5),$174.68,01-03-2024,36,Southwest
Blue Cross Blue Shield,Kaiser Permanente,93000,Electrocardiogram (ECG),$43.84,01-08-2024,24,Midwest
Blue Cross Blue Shield,Kaiser Permanente,70450,CT Scan of Head/Brain,$280.13,01-03-2024,36,Southwest
Blue Cross Blue Shield,Kaiser Permanente,80053,Comprehensive Metabolic Panel,$22.85,01-10-2024,36,Southeast
Blue Cross Blue Shield,Kaiser Permanente,85025,Complete Blood Count (CBC),$21.79,01-05-2024,24,West
Blue Cross Blue Shield,Kaiser Permanente,71045,Chest X-Ray,$63.50,01-10-2024,12,Midwest
Blue Cross Blue Shield,Kaiser Permanente,99283,Emergency Dept Visit - Moderate,$220.71,01-03-2024,36,Northeast
Blue Cross Blue Shield,Kaiser Permanente,99284,Emergency Dept Visit - High,$344.80,01-09-2024,24,Midwest
Blue Cross Blue Shield,Kaiser Permanente,97110,Physical Therapy - 15 mins,$28.65,01-10-2024,36,Midwest
Blue Cross Blue Shield,Kaiser Permanente,36415,Blood Draw/Venipuncture,$13.78,01-10-2024,24,Southwest
Blue Cross Blue Shield,Kaiser Permanente,90471,Vaccine Administration,$44.12,01-07-2024,12,Northeast
Blue Cross Blue Shield,Kaiser Permanente,90213,Immunization,$88.52,01-03-2024,24,Southeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,99213,Office/Outpatient Visit (Level 3),$76.17,01-10-2024,36,Northeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,99214,Office/Outpatient Visit (Level 4),$105.51,01-01-2024,12,Southeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,99215,Office/Outpatient Visit (Level 5),$155.14,01-08-2024,36,Southeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,93000,Electrocardiogram (ECG),$36.12,01-09-2024,24,West
Blue Cross Blue Shield,Johns Hopkins Healthcare,70450,CT Scan of Head/Brain,$254.82,01-02-2024,24,Southeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,80053,Comprehensive Metabolic Panel,$18.61,01-05-2024,24,West
Blue Cross Blue Shield,Johns Hopkins Healthcare,85025,Complete Blood Count (CBC),$14.63,01-11-2024,12,Northeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,71045,Chest X-Ray,$50.29,01-08-2024,12,Midwest
Blue Cross Blue Shield,Johns Hopkins Healthcare,99283,Emergency Dept Visit - Moderate,$161.20,01-12-2024,12,Midwest
Blue Cross Blue Shield,Johns Hopkins Healthcare,99284,Emergency Dept Visit - High,$362.22,01-02-2024,24,West
Blue Cross Blue Shield,Johns Hopkins Healthcare,97110,Physical Therapy - 15 mins,$32.95,01-04-2024,12,Southwest
Blue Cross Blue Shield,Johns Hopkins Healthcare,36415,Blood Draw/Venipuncture,$12.55,01-06-2024,36,Northeast
Blue Cross Blue Shield,Johns Hopkins Healthcare,90471,Vaccine Administration,$43.33,01-12-2024,24,Midwest
Blue Cross Blue Shield,Johns Hopkins Healthcare,90213,Immunization,$74.09,01-01-2024,36,Midwest
Blue Cross Blue Shield,Massachusetts General Hospital,99213,Office/Outpatient Visit (Level 3),$78.01,01-10-2024,12,Northeast
Blue Cross Blue Shield,Massachusetts General Hospital,99214,Office/Outpatient Visit (Level 4),$125.27,01-10-2024,36,West
Blue Cross Blue Shield,Massachusetts General Hospital,99215,Office/Outpatient Visit (Level 5),$142.06,01-10-2024,24,Northeast
Blue Cross Blue Shield,Massachusetts General Hospital,93000,Electrocardiogram (ECG),$34.46,01-10-2024,24,Midwest
Blue Cross Blue Shield,Massachusetts General Hospital,70450,CT Scan of Head/Brain,$336.94,01-08-2024,12,Northeast
Blue Cross Blue Shield,Massachusetts General Hospital,80053,Comprehensive Metabolic Panel,$19.61,01-06-2024,24,West
Blue Cross Blue Shield,Massachusetts General Hospital,85025,Complete Blood Count (CBC),$18.33,01-03-2024,36,West
Blue Cross Blue Shield,Massachusetts General Hospital,71045,Chest X-Ray,$45.59,01-03-2024,12,Southeast
Blue Cross Blue Shield,Massachusetts General Hospital,99283,Emergency Dept Visit - Moderate,$150.44,01-10-2024,24,Midwest
Blue Cross Blue Shield,Massachusetts General Hospital,99284,Emergency Dept Visit - High,$302.51,01-08-2024,12,West
Blue Cross Blue Shield,Massachusetts General Hospital,97110,Physical Therapy - 15 mins,$37.28,01-04-2024,24,Southwest
Blue Cross Blue Shield,Massachusetts General Hospital,36415,Blood Draw/Venipuncture,$16.17,01-12-2024,36,Northeast
Blue Cross Blue Shield,Massachusetts General Hospital,90471,Vaccine Administration,$37.38,01-05-2024,36,Northeast
Blue Cross Blue Shield,Massachusetts General Hospital,90213,Immunization,$87.56,01-09-2024,24,West
Blue Cross Blue Shield,Stanford Medical Center,99213,Office/Outpatient Visit (Level 3),$83.28,01-05-2024,36,Midwest
Blue Cross Blue Shield,Stanford Medical Center,99214,Office/Outpatient Visit (Level 4),$116.79,01-02-2024,36,Southwest
Blue Cross Blue Shield,Stanford Medical Center,99215,Office/Outpatient Visit (Level 5),$171.56,01-07-2024,24,Southwest
Blue Cross Blue Shield,Stanford Medical Center,93000,Electrocardiogram (ECG),$48.95,01-07-2024,36,Southwest
Blue Cross Blue Shield,Stanford Medical Center,70450,CT Scan of Head/Brain,$259.65,01-10-2024,36,Northeast
Blue Cross Blue Shield,Stanford Medical Center,80053,Comprehensive Metabolic Panel,$25.04,01-02-2024,12,Southeast
Blue Cross Blue Shield,Stanford Medical Center,85025,Complete Blood Count (CBC),$23.11,01-07-2024,24,Midwest
Blue Cross Blue Shield,Stanford Medical Center,71045,Chest X-Ray,$52.56,01-09-2024,24,Southeast
Blue Cross Blue Shield,Stanford Medical Center,99283,Emergency Dept Visit - Moderate,$162.12,01-07-2024,24,Midwest
Blue Cross Blue Shield,Stanford Medical Center,99284,Emergency Dept Visit - High,$359.09,01-03-2024,36,Midwest
Blue Cross Blue Shield,Stanford Medical Center,97110,Physical Therapy - 15 mins,$37.95,01-07-2024,12,Southwest
Blue Cross Blue Shield,Stanford Medical Center,36415,Blood Draw/Venipuncture,$12.58,01-11-2024,12,Midwest
Blue Cross Blue Shield,Stanford Medical Center,90471,Vaccine Administration,$45.52,01-02-2024,24,Northeast
Blue Cross Blue Shield,Stanford Medical Center,90213,Immunization,$92.09,01-04-2024,12,Midwest
Blue Cross Blue Shield,NYU Langone Health,99213,Office/Outpatient Visit (Level 3),$85.24,01-03-2024,24,Northeast
Blue Cross Blue Shield,NYU Langone Health,99214,Office/Outpatient Visit (Level 4),$103.47,01-03-2024,36,Northeast
Blue Cross Blue Shield,NYU Langone Health,99215,Office/Outpatient Visit (Level 5),$130.79,01-03-2024,12,Southwest
Blue Cross Blue Shield,NYU Langone Health,93000,Electrocardiogram (ECG),$41.50,01-03-2024,36,Northeast
Blue Cross Blue Shield,NYU Langone Health,70450,CT Scan of Head/Brain,$292.95,01-11-2024,36,Southeast
Blue Cross Blue Shield,NYU Langone Health,80053,Comprehensive Metabolic Panel,$20.99,01-04-2024,36,West
Blue Cross Blue Shield,NYU Langone Health,85025,Complete Blood Count (CBC),$15.01,01-04-2024,36,Southeast
Blue Cross Blue Shield,NYU Langone Health,71045,Chest X-Ray,$47.98,01-02-2024,36,Southeast
Blue Cross Blue Shield,NYU Langone Health,99283,Emergency Dept Visit - Moderate,$173.77,01-02-2024,36,West
Blue Cross Blue Shield,NYU Langone Health,99284,Emergency Dept Visit - High,$369.15,01-06-2024,24,West
Blue Cross Blue Shield,NYU Langone Health,97110,Physical Therapy - 15 mins,$39.33,01-05-2024,36,Southeast
Blue Cross Blue Shield,NYU Langone Health,36415,Blood Draw/Venipuncture,$13.21,01-10-2024,36,Northeast
Blue Cross Blue Shield,NYU Langone Health,90471,Vaccine Administration,$34.27,01-09-2024,36,Northeast
Blue Cross Blue Shield,NYU Langone Health,90213,Immunization,$70.12,01-04-2024,24,Northeast
Blue Cross Blue Shield,UCLA Medical Center,99213,Office/Outpatient Visit (Level 3),$78.71,01-09-2024,36,Midwest
Blue Cross Blue Shield,UCLA Medical Center,99214,Office/Outpatient Visit (Level 4),$125.31,01-07-2024,24,Southwest
Blue Cross Blue Shield,UCLA Medical Center,99215,Office/Outpatient Visit (Level 5),$161.48,01-08-2024,24,Southwest
Blue Cross Blue Shield,UCLA Medical Center,93000,Electrocardiogram (ECG),$48.66,01-08-2024,12,Southwest
Blue Cross Blue Shield,UCLA Medical Center,70450,CT Scan of Head/Brain,$320.46,01-04-2024,24,Northeast
Blue Cross Blue Shield,UCLA Medical Center,80053,Comprehensive Metabolic Panel,$30.33,01-08-2024,12,Southwest
Blue Cross Blue Shield,UCLA Medical Center,85025,Complete Blood Count (CBC),$19.20,01-07-2024,24,Southwest
Blue Cross Blue Shield,UCLA Medical Center,71045,Chest X-Ray,$63.79,01-08-2024,24,Northeast
Blue Cross Blue Shield,UCLA Medical Center,99283,Emergency Dept Visit - Moderate,$211.36,01-05-2024,24,Southeast
Blue Cross Blue Shield,UCLA Medical Center,99284,Emergency Dept Visit - High,$342.93,01-12-2024,24,Southeast
Blue Cross Blue Shield,UCLA Medical Center,97110,Physical Therapy - 15 mins,$43.56,01-11-2024,24,Southwest
Blue Cross Blue Shield,UCLA Medical Center,36415,Blood Draw/Venipuncture,$17.44,01-08-2024,36,Southwest
Blue Cross Blue Shield,UCLA Medical Center,90471,Vaccine Administration,$46.86,01-05-2024,24,West
Blue Cross Blue Shield,UCLA Medical Center,90213,Immunization,$82.13,01-07-2024,24,Southwest
Blue Cross Blue Shield,Mount Sinai Health,99213,Office/Outpatient Visit (Level 3),$71.74,01-12-2024,36,Southwest
Blue Cross Blue Shield,Mount Sinai Health,99214,Office/Outpatient Visit (Level 4),$100.07,01-01-2024,36,Northeast
Blue Cross Blue Shield,Mount Sinai Health,99215,Office/Outpatient Visit (Level 5),$172.33,01-07-2024,24,Northeast
Blue Cross Blue Shield,Mount Sinai Health,93000,Electrocardiogram (ECG),$46.14,01-12-2024,36,Southeast
Blue Cross Blue Shield,Mount Sinai Health,70450,CT Scan of Head/Brain,$275.88,01-02-2024,36,Southwest
Blue Cross Blue Shield,Mount Sinai Health,80053,Comprehensive Metabolic Panel,$31.09,01-10-2024,12,Southwest
Blue Cross Blue Shield,Mount Sinai Health,85025,Complete Blood Count (CBC),$21.28,01-07-2024,12,West
Blue Cross Blue Shield,Mount Sinai Health,71045,Chest X-Ray,$56.59,01-11-2024,12,Midwest
Blue Cross Blue Shield,Mount Sinai Health,99283,Emergency Dept Visit - Moderate,$203.56,01-12-2024,24,Southwest
Blue Cross Blue Shield,Mount Sinai Health,99284,Emergency Dept Visit - High,$347.90,01-01-2024,12,West
Blue Cross Blue Shield,Mount Sinai Health,97110,Physical Therapy - 15 mins,$34.45,01-04-2024,36,Southwest
Blue Cross Blue Shield,Mount Sinai Health,36415,Blood Draw/Venipuncture,$14.73,01-06-2024,24,West
Blue Cross Blue Shield,Mount Sinai Health,90471,Vaccine Administration,$49.98,01-02-2024,24,Southwest
Blue Cross Blue Shield,Mount Sinai Health,90213,Immunization,$100.49,01-12-2024,12,Southeast
UnitedHealthcare,Memorial Health System,99213,Office/Outpatient Visit (Level 3),$74.41,01-08-2024,12,Midwest
UnitedHealthcare,Memorial Health System,99214,Office/Outpatient Visit (Level 4),$119.67,01-06-2024,36,Midwest
UnitedHealthcare,Memorial Health System,99215,Office/Outpatient Visit (Level 5),$175.29,01-04-2024,24,West
UnitedHealthcare,Memorial Health System,93000,Electrocardiogram (ECG),$45.64,01-07-2024,24,Southeast
UnitedHealthcare,Memorial Health System,70450,CT Scan of Head/Brain,$317.34,01-04-2024,36,West
UnitedHealthcare,Memorial Health System,80053,Comprehensive Metabolic Panel,$23.86,01-11-2024,12,Southeast
UnitedHealthcare,Memorial Health System,85025,Complete Blood Count (CBC),$22.93,01-09-2024,12,West
UnitedHealthcare,Memorial Health System,71045,Chest X-Ray,$56.54,01-11-2024,36,Northeast
UnitedHealthcare,Memorial Health System,99283,Emergency Dept Visit - Moderate,$207.44,01-12-2024,12,West
UnitedHealthcare,Memorial Health System,99284,Emergency Dept Visit - High,$307.79,01-08-2024,24,Southwest
UnitedHealthcare,Memorial Health System,97110,Physical Therapy - 15 mins,$27.43,01-06-2024,24,Northeast
UnitedHealthcare,Memorial Health System,36415,Blood Draw/Venipuncture,$12.55,01-06-2024,12,West
UnitedHealthcare,Memorial Health System,90471,Vaccine Administration,$33.39,01-09-2024,36,Southwest
UnitedHealthcare,Memorial Health System,90213,Immunization,$77.81,01-04-2024,24,Southwest
UnitedHealthcare,Cleveland Clinic,99213,Office/Outpatient Visit (Level 3),$75.07,01-07-2024,24,West
UnitedHealthcare,Cleveland Clinic,99214,Office/Outpatient Visit (Level 4),$104.47,01-12-2024,36,Midwest
UnitedHealthcare,Cleveland Clinic,99215,Office/Outpatient Visit (Level 5),$169.01,01-07-2024,24,West
UnitedHealthcare,Cleveland Clinic,93000,Electrocardiogram (ECG),$45.80,01-03-2024,24,Northeast
UnitedHealthcare,Cleveland Clinic,70450,CT Scan of Head/Brain,$234.63,01-06-2024,24,Northeast
UnitedHealthcare,Cleveland Clinic,80053,Comprehensive Metabolic Panel,$25.73,01-07-2024,36,Southeast
UnitedHealthcare,Cleveland Clinic,85025,Complete Blood Count (CBC),$15.44,01-09-2024,24,West
UnitedHealthcare,Cleveland Clinic,71045,Chest X-Ray,$50.09,01-01-2024,12,Midwest
UnitedHealthcare,Cleveland Clinic,99283,Emergency Dept Visit - Moderate,$159.26,01-12-2024,24,Northeast
UnitedHealthcare,Cleveland Clinic,99284,Emergency Dept Visit - High,$338.72,01-10-2024,36,Midwest
UnitedHealthcare,Cleveland Clinic,97110,Physical Therapy - 15 mins,$29.39,01-07-2024,12,Northeast
UnitedHealthcare,Cleveland Clinic,36415,Blood Draw/Venipuncture,$16.36,01-10-2024,24,Southwest
UnitedHealthcare,Cleveland Clinic,90471,Vaccine Administration,$32.28,01-07-2024,24,Southwest
UnitedHealthcare,Cleveland Clinic,90213,Immunization,$76.04,01-08-2024,36,Southeast
UnitedHealthcare,Mayo Medical Group,99213,Office/Outpatient Visit (Level 3),$77.05,01-11-2024,24,Southeast
UnitedHealthcare,Mayo Medical Group,99214,Office/Outpatient Visit (Level 4),$88.43,01-06-2024,12,Northeast
UnitedHealthcare,Mayo Medical Group,99215,Office/Outpatient Visit (Level 5),$153.72,01-01-2024,36,West
UnitedHealthcare,Mayo Medical Group,93000,Electrocardiogram (ECG),$36.97,01-05-2024,12,Northeast
UnitedHealthcare,Mayo Medical Group,70450,CT Scan of Head/Brain,$267.71,01-12-2024,24,Midwest
UnitedHealthcare,Mayo Medical Group,80053,Comprehensive Metabolic Panel,$24.68,01-01-2024,36,Southeast
UnitedHealthcare,Mayo Medical Group,85025,Complete Blood Count (CBC),$23.13,01-07-2024,12,Midwest
UnitedHealthcare,Mayo Medical Group,71045,Chest X-Ray,$44.90,01-09-2024,24,Northeast
UnitedHealthcare,Mayo Medical Group,99283,Emergency Dept Visit - Moderate,$179.97,01-09-2024,12,Southeast
UnitedHealthcare,Mayo Medical Group,99284,Emergency Dept Visit - High,$351.98,01-06-2024,36,Southwest
UnitedHealthcare,Mayo Medical Group,97110,Physical Therapy - 15 mins,$29.48,01-09-2024,24,Southeast
UnitedHealthcare,Mayo Medical Group,36415,Blood Draw/Venipuncture,$13.51,01-06-2024,24,Southwest
UnitedHealthcare,Mayo Medical Group,90471,Vaccine Administration,$34.64,01-09-2024,12,Southeast
UnitedHealthcare,Mayo Medical Group,90213,Immunization,$75.26,01-12-2024,24,Southwest
UnitedHealthcare,Kaiser Permanente,99213,Office/Outpatient Visit (Level 3),$63.64,01-06-2024,24,Southwest
UnitedHealthcare,Kaiser Permanente,99214,Office/Outpatient Visit (Level 4),$117.12,01-09-2024,36,West
UnitedHealthcare,Kaiser Permanente,99215,Office/Outpatient Visit (Level 5),$146.52,01-09-2024,24,Southeast
UnitedHealthcare,Kaiser Permanente,93000,Electrocardiogram (ECG),$44.26,01-08-2024,12,Northeast
UnitedHealthcare,Kaiser Permanente,70450,CT Scan of Head/Brain,$245.51,01-02-2024,12,Northeast
UnitedHealthcare,Kaiser Permanente,80053,Comprehensive Metabolic Panel,$24.95,01-10-2024,12,Midwest
UnitedHealthcare,Kaiser Permanente,85025,Complete Blood Count (CBC),$18.50,01-03-2024,36,Southeast
UnitedHealthcare,Kaiser Permanente,71045,Chest X-Ray,$40.46,01-06-2024,12,Midwest
UnitedHealthcare,Kaiser Permanente,99283,Emergency Dept Visit - Moderate,$166.62,01-04-2024,24,Southeast
UnitedHealthcare,Kaiser Permanente,99284,Emergency Dept Visit - High,$286.35,01-09-2024,12,Midwest
UnitedHealthcare,Kaiser Permanente,97110,Physical Therapy - 15 mins,$36.15,01-05-2024,24,West
UnitedHealthcare,Kaiser Permanente,36415,Blood Draw/Venipuncture,$15.79,01-01-2024,24,Southeast
UnitedHealthcare,Kaiser Permanente,90471,Vaccine Administration,$31.65,01-04-2024,36,West
UnitedHealthcare,Kaiser Permanente,90213,Immunization,$82.16,01-07-2024,24,Midwest
UnitedHealthcare,Johns Hopkins Healthcare,99213,Office/Outpatient Visit (Level 3),$68.52,01-09-2024,24,Southwest
UnitedHealthcare,Johns Hopkins Healthcare,99214,Office/Outpatient Visit (Level 4),$111.51,01-10-2024,24,Northeast
UnitedHealthcare,Johns Hopkins Healthcare,99215,Office/Outpatient Visit (Level 5),$175.19,01-08-2024,36,West
UnitedHealthcare,Johns Hopkins Healthcare,93000,Electrocardiogram (ECG),$40.53,01-06-2024,36,Southwest
UnitedHealthcare,Johns Hopkins Healthcare,70450,CT Scan of Head/Brain,$353.61,01-10-2024,24,Southeast
UnitedHealthcare,Johns Hopkins Healthcare,80053,Comprehensive Metabolic Panel,$25.44,01-01-2024,12,Southwest
UnitedHealthcare,Johns Hopkins Healthcare,85025,Complete Blood Count (CBC),$17.82,01-11-2024,24,Midwest
UnitedHealthcare,Johns Hopkins Healthcare,71045,Chest X-Ray,$61.54,01-01-2024,12,Southwest
UnitedHealthcare,Johns Hopkins Healthcare,99283,Emergency Dept Visit - Moderate,$202.31,01-11-2024,36,Northeast
UnitedHealthcare,Johns Hopkins Healthcare,99284,Emergency Dept Visit - High,$306.47,01-04-2024,36,Midwest
UnitedHealthcare,Johns Hopkins Healthcare,97110,Physical Therapy - 15 mins,$39.36,01-05-2024,12,West
UnitedHealthcare,Johns Hopkins Healthcare,36415,Blood Draw/Venipuncture,$13.50,01-09-2024,12,Midwest
UnitedHealthcare,Johns Hopkins Healthcare,90471,Vaccine Administration,$39.12,01-02-2024,24,West
UnitedHealthcare,Johns Hopkins Healthcare,90213,Immunization,$98.65,01-08-2024,12,Southwest
UnitedHealthcare,Massachusetts General Hospital,99213,Office/Outpatient Visit (Level 3),$80.71,01-05-2024,24,Northeast
UnitedHealthcare,Massachusetts General Hospital,99214,Office/Outpatient Visit (Level 4),$125.23,01-10-2024,12,Southeast
UnitedHealthcare,Massachusetts General Hospital,99215,Office/Outpatient Visit (Level 5),$176.42,01-09-2024,24,Southwest
UnitedHealthcare,Massachusetts General Hospital,93000,Electrocardiogram (ECG),$48.86,01-11-2024,24,Southeast
UnitedHealthcare,Massachusetts General Hospital,70450,CT Scan of Head/Brain,$353.17,01-10-2024,12,Southeast
UnitedHealthcare,Massachusetts General Hospital,80053,Comprehensive Metabolic Panel,$23.36,01-06-2024,36,Southeast
UnitedHealthcare,Massachusetts General Hospital,85025,Complete Blood Count (CBC),$18.41,01-12-2024,24,Northeast
UnitedHealthcare,Massachusetts General Hospital,71045,Chest X-Ray,$55.04,01-05-2024,24,Southwest
UnitedHealthcare,Massachusetts General Hospital,99283,Emergency Dept Visit - Moderate,$214.85,01-04-2024,36,West
UnitedHealthcare,Massachusetts General Hospital,99284,Emergency Dept Visit - High,$324.06,01-10-2024,36,Midwest
UnitedHealthcare,Massachusetts General Hospital,97110,Physical Therapy - 15 mins,$29.30,01-10-2024,12,Southwest
UnitedHealthcare,Massachusetts General Hospital,36415,Blood Draw/Venipuncture,$16.64,01-09-2024,12,Midwest
UnitedHealthcare,Massachusetts General Hospital,90471,Vaccine Administration,$34.88,01-06-2024,12,Southeast
UnitedHealthcare,Massachusetts General Hospital,90213,Immunization,$98.50,01-02-2024,36,Southwest
UnitedHealthcare,Stanford Medical Center,99213,Office/Outpatient Visit (Level 3),$94.98,01-05-2024,36,West
UnitedHealthcare,Stanford Medical Center,99214,Office/Outpatient Visit (Level 4),$118.88,01-02-2024,12,Southeast
UnitedHealthcare,Stanford Medical Center,99215,Office/Outpatient Visit (Level 5),$156.81,01-12-2024,24,Southwest
UnitedHealthcare,Stanford Medical Center,93000,Electrocardiogram (ECG),$38.92,01-05-2024,36,Northeast
UnitedHealthcare,Stanford Medical Center,70450,CT Scan of Head/Brain,$351.49,01-09-2024,36,Southwest
UnitedHealthcare,Stanford Medical Center,80053,Comprehensive Metabolic Panel,$30.73,01-12-2024,36,Northeast
UnitedHealthcare,Stanford Medical Center,85025,Complete Blood Count (CBC),$26.31,01-05-2024,12,West
UnitedHealthcare,Stanford Medical Center,71045,Chest X-Ray,$53.58,01-06-2024,12,Southeast
UnitedHealthcare,Stanford Medical Center,99283,Emergency Dept Visit - Moderate,$229.67,01-01-2024,12,Southeast
UnitedHealthcare,Stanford Medical Center,99284,Emergency Dept Visit - High,$405.02,01-12-2024,12,Southwest
UnitedHealthcare,Stanford Medical Center,97110,Physical Therapy - 15 mins,$34.63,01-11-2024,24,Midwest
UnitedHealthcare,Stanford Medical Center,36415,Blood Draw/Venipuncture,$13.82,01-05-2024,36,Midwest
UnitedHealthcare,Stanford Medical Center,90471,Vaccine Administration,$50.20,01-08-2024,24,West
UnitedHealthcare,Stanford Medical Center,90213,Immunization,$101.06,01-02-2024,12,Southeast
UnitedHealthcare,NYU Langone Health,99213,Office/Outpatient Visit (Level 3),$73.10,01-05-2024,12,Midwest
UnitedHealthcare,NYU Langone Health,99214,Office/Outpatient Visit (Level 4),$136.48,01-09-2024,24,West
UnitedHealthcare,NYU Langone Health,99215,Office/Outpatient Visit (Level 5),$188.49,01-06-2024,24,West
UnitedHealthcare,NYU Langone Health,93000,Electrocardiogram (ECG),$45.84,01-03-2024,36,Southwest
UnitedHealthcare,NYU Langone Health,70450,CT Scan of Head/Brain,$316.53,01-10-2024,24,Southwest
UnitedHealthcare,NYU Langone Health,80053,Comprehensive Metabolic Panel,$29.57,01-04-2024,12,Southeast
